"basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt"
"20211116,033780,KR7033780008,KT&G,KOSPI,84800,-200,-.24,84800,85400,84600,570640,48548160800,137292497,11642403745600"
"20211116,034020,KR7034020008,두산중공업,KOSPI,25700,150,.59,25500,26050,25250,7188676,185270032050,518707291,13330777378700"
"20211116,034220,KR7034220004,LG디스플레이,KOSPI,20650,-50,-.24,20850,21100,20500,2185897,45319176300,357815700,7388894205000"
"20211116,034230,KR7034230003,파라다이스,KOSDAQ,16400,-50,-.3,16500,16600,16200,509683,8342153750,90942672,1491459820800"
"20211116,034730,KR7034730002,SK,KOSPI,251000,3000,1.21,248500,260000,248500,479621,122233023000,70360297,17660434547000"
"20211116,035250,KR7035250000,강원랜드,KOSPI,26150,-200,-.76,26200,26350,26000,561109,14673222200,213940500,5594544075000"
"20211116,035420,KR7035420009,NAVER,KOSPI,405500,-5500,-1.34,410000,412500,405000,490783,199916460802,164263395,66608806672500"
"20211116,035720,KR7035720002,카카오,KOSPI,127500,-1500,-1.16,129000,130000,127000,1591390,203309516500,445698246,56826526365000"
"20211116,036460,KR7036460004,한국가스공사,KOSPI,40300,-300,-.74,40700,40800,40050,478227,19303984450,92313000,3720213900000"
"20211116,036570,KR7036570000,엔씨소프트,KOSPI,705000,45000,6.82,670000,712000,660000,881816,604757411000,21954022,15477585510000"
"20211116,039490,KR7039490008,키움증권,KOSPI,110500,-1500,-1.34,110500,112000,110000,46679,5170380000,26219513,2897256186500"
"20211116,042660,KR7042660001,대우조선해양,KOSPI,26350,50,.19,26200,26700,25600,470867,12308958550,107290669,2827109128150"
"20211116,042700,KR7042700005,한미반도체,KOSPI,34650,200,.58,34600,35250,34150,940120,32668968450,49459877,1713784738050"
"20211116,000080,KR7000080002,하이트진로,KOSPI,34200,-150,-.44,34050,34350,33900,157553,5374232100,70133611,2398569496200"
"20211116,000100,KR7000100008,유한양행,KOSPI,59900,-300,-.5,59700,60400,59100,146918,8808636600,69972959,4191380244100"
"20211116,000120,KR7000120006,CJ대한통운,KOSPI,140500,500,.36,139000,142000,137000,21419,3006321500,22812344,3205134332000"
"20211116,000150,KR7000150003,두산,KOSPI,138000,500,.36,136500,140500,131000,149715,20348127500,16523835,2280289230000"
"20211116,000210,KR7000210005,DL,KOSPI,63800,-1000,-1.54,64400,65200,63700,86043,5521871200,20955884,1336985399200"
"20211116,000240,KR7000240002,한국앤컴퍼니,KOSPI,17100,-250,-1.44,17250,17350,16950,94762,1620933600,94935240,1623392604000"
"20211116,000270,KR7000270009,기아,KOSPI,84200,-2300,-2.66,86100,86100,84000,2018714,170324931800,405363347,34131593817400"
"20211116,000660,KR7000660001,SK하이닉스,KOSPI,112000,1000,.9,111000,113000,109000,3767311,420122536000,728002365,81536264880000"
"20211116,000670,KR7000670000,영풍,KOSPI,684000,-14000,-2.01,690000,698000,677000,1601,1097543000,1842040,1259955360000"
"20211116,000720,KR7000720003,현대건설,KOSPI,50200,-600,-1.18,50500,50500,49950,291399,14605940150,111355765,5590059403000"
"20211116,000810,KR7000810002,삼성화재,KOSPI,229000,-500,-.22,230000,230000,224000,88060,20017848000,47374837,10848837673000"
"20211116,000880,KR7000880005,한화,KOSPI,32000,-300,-.93,32150,32400,31900,184578,5920642400,74958735,2398679520000"
"20211116,000990,KR7000990002,DB하이텍,KOSPI,66000,1200,1.85,66100,67700,65000,2494165,165355975800,44398588,2930306808000"
"20211116,001040,KR7001040005,CJ,KOSPI,91700,-3200,-3.37,94300,94500,91000,153116,14104255000,29176998,2675530716600"
"20211116,001430,KR7001430008,세아베스틸,KOSPI,20900,-500,-2.34,21050,21350,20750,88127,1847374850,35862119,749518287100"
"20211116,001440,KR7001440007,대한전선,KOSPI,1955,-40,-2.01,2050,2070,1925,16486049,32422477770,856473009,1674404732595"
"20211116,001450,KR7001450006,현대해상,KOSPI,25800,300,1.18,25500,26000,25150,484646,12382729600,89400000,2306520000000"
"20211116,001680,KR7001680008,대상,KOSPI,24000,-250,-1.03,24000,24150,23850,88417,2122354600,34648025,831552600000"
"20211116,001800,KR7001800002,오리온홀딩스,KOSPI,16100,-150,-.92,16250,16250,16000,53477,863665950,62645422,1008591294200"
"20211116,002030,KR7002030005,아세아,KOSPI,123500,5000,4.22,118000,124000,117000,6941,838741500,2191024,270591464000"
"20211116,002380,KR7002380004,KCC,KOSPI,312000,-14000,-4.29,326500,326500,311000,68231,21501615000,8886471,2772578952000"
"20211116,002790,KR7002790004,아모레G,KOSPI,48600,-50,-.1,48600,48950,48000,100998,4883979850,82458180,4007467548000"
"20211116,002840,KR7002840007,미원상사,KOSPI,208000,0,0,208000,209000,206500,1330,276056000,4970000,1033760000000"
"20211116,003030,KR7003030004,세아제강지주,KOSPI,119000,500,.42,120500,120500,115000,26047,3074494500,4141657,492857183000"
"20211116,003090,KR7003090008,대웅,KOSPI,32450,-300,-.92,32400,32750,32150,41436,1341201850,58141980,1886707251000"
"20211116,003230,KR7003230000,삼양식품,KOSPI,80800,200,.25,79800,81600,79800,22100,1780376600,7533015,608667612000"
"20211116,003240,KR7003240009,태광산업,KOSPI,1006000,27000,2.76,993000,1040000,984000,3312,3350243000,1113400,1120080400000"
"20211116,003490,KR7003490000,대한항공,KOSPI,30450,50,.16,30550,31000,30450,1774387,54338615750,347820825,10591144121250"
"20211116,003550,KR7003550001,LG,KOSPI,89700,-600,-.66,89200,90500,88500,188510,16880123600,157300993,14109899072100"
"20211116,003670,KR7003670007,포스코케미칼,KOSPI,145500,0,0,145500,146500,143500,185936,26956716500,77463220,11270898510000"
"20211116,004000,KR7004000006,롯데정밀화학,KOSPI,82000,1100,1.36,81600,82300,79800,166510,13551238300,25800000,2115600000000"
"20211116,004020,KR7004020004,현대제철,KOSPI,41200,-500,-1.2,41700,42100,40900,532256,22008292250,133445785,5497966342000"
"20211116,004170,KR7004170007,신세계,KOSPI,239000,-3000,-1.24,242000,244500,238000,76122,18272578000,9845181,2352998259000"
"20211116,004370,KR7004370003,농심,KOSPI,290000,6500,2.29,285500,291000,284000,34993,10110131000,6082642,1763966180000"
"20211116,004990,KR7004990008,롯데지주,KOSPI,32950,-100,-.3,32950,33150,32750,53829,1773910550,104909237,3456759359150"
"20211116,005300,KR7005300009,롯데칠성,KOSPI,140000,1500,1.08,137000,141000,136000,25046,3465215500,9278884,1299043760000"
"20211116,005380,KR7005380001,현대차,KOSPI,206500,-2500,-1.2,208000,208000,205000,515194,106237104500,213668187,44122480615500"
"20211116,005420,KR7005420005,코스모화학,KOSPI,16850,100,.6,17050,17300,16800,811166,13819107550,27860157,469443645450"
"20211116,005490,KR7005490008,POSCO,KOSPI,283500,-1500,-.53,283500,287500,280500,219629,62510267500,87186835,24717467722500"
"20211116,005830,KR7005830005,DB손해보험,KOSPI,59800,1400,2.4,57900,60300,57700,225039,13294426800,70800000,4233840000000"
"20211116,005850,KR7005850003,에스엘,KOSPI,32100,-500,-1.53,32450,32450,31650,95966,3069078050,48203277,1547325191700"
"20211116,005930,KR7005930003,삼성전자,KOSPI,71300,-100,-.14,71500,72000,71300,10919239,782118934000,5969782550,425645495815000"
"20211116,005940,KR7005940002,NH투자증권,KOSPI,13300,100,.76,13200,13300,13100,583799,7723664850,297033887,3950550697100"
"20211116,006040,KR7006040000,동원산업,KOSPI,227000,-5000,-2.16,230500,232000,226500,2980,681421000,3677641,834824507000"
"20211116,006260,KR7006260004,LS,KOSPI,57500,-1700,-2.87,59000,59000,57400,158160,9172932700,32200000,1851500000000"
"20211116,006280,KR7006280002,녹십자,KOSPI,242000,3000,1.26,239500,245500,236000,80435,19479396000,11686538,2828142196000"
"20211116,006400,KR7006400006,삼성SDI,KOSPI,760000,6000,.8,754000,765000,752000,201440,152889402000,68764530,52261042800000"
"20211116,006650,KR7006650006,대한유화,KOSPI,182000,-2000,-1.09,182500,186500,181000,32096,5888537000,6500000,1183000000000"
"20211116,006800,KR7006800007,미래에셋증권,KOSPI,9340,80,.86,9200,9340,9170,1283781,11921619270,635316408,5933855250720"
"20211116,007070,KR7007070006,GS리테일,KOSPI,33000,100,.3,32750,33000,32450,186695,6119262400,104717922,3455691426000"
"20211116,007310,KR7007310006,오뚜기,KOSPI,471000,-1500,-.32,468500,473000,466500,1820,855509500,3671981,1729503051000"
"20211116,007340,KR7007340003,디티알오토모티브,KOSPI,65200,-2400,-3.55,66000,66800,63000,55372,3596695300,9994005,651609126000"
"20211116,007660,KR7007660004,이수페타시스,KOSPI,4730,70,1.5,4375,4805,4305,6203795,28233840595,41268398,195199522540"
"20211116,008730,KR7008730004,율촌화학,KOSPI,20950,200,.96,20750,20950,20500,38633,797781350,24800000,519560000000"
"20211116,008770,KR7008770000,호텔신라,KOSPI,81200,-600,-.73,81600,81800,80900,211719,17180887900,39248121,3186947425200"
"20211116,008930,KR7008930000,한미사이언스,KOSPI,57900,-100,-.17,57100,58200,56700,56567,3258807600,67304611,3896936976900"
"20211116,009150,KR7009150004,삼성전기,KOSPI,167000,-2500,-1.47,170000,170500,166500,447805,75413373000,74693696,12473847232000"
"20211116,009240,KR7009240003,한샘,KOSPI,86800,-1200,-1.36,88100,88400,86600,75641,6617008400,23533928,2042744950400"
"20211116,009420,KR7009420001,한올바이오파마,KOSPI,20850,-100,-.48,20700,21000,20550,101628,2113940500,52240638,1089217302300"
"20211116,009540,KR7009540006,한국조선해양,KOSPI,101000,-1500,-1.46,102500,102500,100500,122875,12460073000,70773116,7148084716000"
"20211116,009830,KR7009830001,한화솔루션,KOSPI,36500,50,.14,36400,36750,36050,547013,19895172050,191278497,6981665140500"
"20211116,009970,KR7009970005,영원무역홀딩스,KOSPI,50200,0,0,49900,50300,49400,18958,943032950,13635592,684506718400"
"20211116,010060,KR7010060002,OCI,KOSPI,120000,1500,1.27,119500,123000,118000,246009,29511269500,23849371,2861924520000"
"20211116,010120,KR7010120004,LS ELECTRIC,KOSPI,58600,-1300,-2.17,59700,59700,58500,70388,4148330600,30000000,1758000000000"
"20211116,010130,KR7010130003,고려아연,KOSPI,505000,1000,.2,502000,510000,497000,33742,17035674000,18870000,9529350000000"
"20211116,010140,KR7010140002,삼성중공업,KOSPI,5770,-70,-1.2,5850,5860,5770,2972339,17247719440,630000000,3635100000000"
"20211116,010950,KR7010950004,S-Oil,KOSPI,94400,-1900,-1.97,96300,96300,94300,217368,20660233900,112582792,10627815564800"
"20211116,011070,KR7011070000,LG이노텍,KOSPI,269000,12000,4.67,257000,271000,255500,620274,164186755500,23667107,6366451783000"
"20211116,011170,KR7011170008,롯데케미칼,KOSPI,216000,-2500,-1.14,218500,221000,214000,105273,22884145500,34275419,7403490504000"
"20211116,011200,KR7011200003,HMM,KOSPI,26850,-650,-2.36,27500,27500,26550,4048488,108508899250,489039496,13130710467600"
"20211116,011210,KR7011210002,현대위아,KOSPI,77600,-1100,-1.4,78900,78900,77000,182283,14147149300,27195083,2110338440800"
"20211116,011780,KR7011780004,금호석유,KOSPI,167500,-2500,-1.47,168500,170000,167000,118180,19871593500,30467691,5103338242500"
"20211116,011790,KR7011790003,SKC,KOSPI,170000,-3000,-1.73,173000,175000,169000,318389,54395482000,37868298,6437610660000"
"20211116,012330,KR7012330007,현대모비스,KOSPI,242500,-5000,-2.02,245000,245500,241500,243270,59093204000,94793094,22987325295000"
"20211116,012450,KR7012450003,한화에어로스페이스,KOSPI,42000,50,.12,41650,42950,41600,489371,20642962600,50630000,2126460000000"
"20211116,012750,KR7012750006,에스원,KOSPI,82800,-1100,-1.31,82700,83800,82400,38998,3230135800,37999178,3146331938400"
"20211116,014680,KR7014680003,한솔케미칼,KOSPI,308000,-9500,-2.99,317000,317000,305000,132862,40909841500,11335195,3491240060000"
"20211116,014820,KR7014820005,동원시스템즈,KOSPI,50100,-1000,-1.96,50500,50600,49300,40345,2009083000,29188411,1462339391100"
"20211116,015760,KR7015760002,한국전력,KOSPI,22800,-50,-.22,22800,22900,22700,1038161,23671864150,641964077,14636780955600"
"20211116,016360,KR7016360000,삼성증권,KOSPI,48700,300,.62,48300,48900,48050,252946,12278759150,89300000,4348910000000"
"20211116,017670,KR7017670001,SK텔레콤,KOSPI,309500,0,0,0,0,0,0,0,72060143,22302614258500"
"20211116,017800,KR7017800004,현대엘리베이,KOSPI,47600,350,.74,47300,47700,46800,147914,6988071000,40815191,1942803091600"
"20211116,017960,KR7017960006,한국카본,KOSPI,11200,-350,-3.03,11450,11550,11100,714982,8039071400,43960757,492360478400"
"20211116,018260,KR7018260000,삼성에스디에스,KOSPI,159500,4500,2.9,154500,160500,154000,108473,17155423500,77377800,12341759100000"
"20211116,018880,KR7018880005,한온시스템,KOSPI,13800,-500,-3.5,14150,14300,13400,1388184,19148795900,533800000,7366440000000"
"20211116,021240,KR7021240007,코웨이,KOSPI,78900,-500,-.63,78600,79300,78000,159769,12554338100,73799619,5822789939100"
"20211116,022100,KR7022100002,포스코 ICT,KOSDAQ,6540,-30,-.46,6570,6640,6480,190393,1246348200,152034729,994307127660"
"20211116,023530,KR7023530009,롯데쇼핑,KOSPI,102500,-500,-.49,102500,104000,102000,40316,4142101500,28288755,2899597387500"
"20211116,024110,KR7024110009,기업은행,KOSPI,11200,50,.45,11100,11200,11050,746300,8316610900,744300587,8336166574400"
"20211116,026960,KR7026960005,동서,KOSPI,34450,-100,-.29,34150,34600,34000,87754,3009487400,99700000,3434665000000"
"20211116,028050,KR7028050003,삼성엔지니어링,KOSPI,22900,-100,-.43,23000,23150,22500,1045430,23770974550,196000000,4488400000000"
"20211116,028260,KR7028260008,삼성물산,KOSPI,114500,0,0,113500,116000,113500,157512,18072854500,186887081,21398570774500"
"20211116,028670,KR7028670008,팬오션,KOSPI,5700,-40,-.7,5700,5740,5620,2402179,13645236960,534569512,3047046218400"
"20211116,029780,KR7029780004,삼성카드,KOSPI,34200,-100,-.29,34200,34350,34050,86566,2958053100,115858891,3962374072200"
"20211116,030000,KR7030000004,제일기획,KOSPI,23500,150,.64,23150,23750,23100,157589,3698857300,115041225,2703468787500"
"20211116,030200,KR7030200000,KT,KOSPI,31100,-350,-1.11,31350,31400,31050,387799,12089388800,261111808,8120577228800"
"20211116,032640,KR7032640005,LG유플러스,KOSPI,14100,0,0,14100,14150,14000,1175534,16547563450,436611361,6156220190100"
"20211116,032830,KR7032830002,삼성생명,KOSPI,67000,600,.9,66200,67200,66000,209123,13938004300,200000000,13400000000000"
"20211116,033780,KR7033780008,KT&G,KOSPI,84800,-200,-.24,84800,85400,84600,570640,48548160800,137292497,11642403745600"
"20211116,034020,KR7034020008,두산중공업,KOSPI,25700,150,.59,25500,26050,25250,7188676,185270032050,518707291,13330777378700"
